id,title,year,tier,software_detected,method_candidates_sw,method_candidates_kw,datatype_candidates,taxon_candidates,geoscope_candidates,environment_candidates,contribution_candidates,ResearchTask_labels,Method_labels,Software_labels,Taxon_labels,DataType_labels,GeoScope_labels,EnvironmentType_labels,ContributionType_labels
https://openalex.org/W4306411852,Chromosomal inversion polymorphisms shape the genomic landscape of deer mice,2022,tier1,STRUCTURE,,,Occurrence / Distribution Records|SNP Genotype Data,Mammalia|Model Organisms|Mouse,Multiple Locations,Terrestrial,Empirical Study,Adaptation Inference|Population Structure Analysis|Gene Flow / Introgression Analysis,,STRUCTURE,Mammalia|Mouse,SNP Genotype Data|Occurrence / Distribution Records,Multiple Locations,Terrestrial,Empirical Study
https://openalex.org/W2999294700,Comparative Analyses of Vertebrate Gut Microbiomes Reveal Convergence between Birds and Bats,2020,tier2,,,,,Aves|Mammalia|Vertebrates,Multiple Locations,Not Specified,Empirical Study|Review / Survey,Phylogenetic Comparative Methods|Macroevolutionary Pattern Analysis,,,Vertebrates|Aves|Mammalia,,Multiple Locations,Not Specified,Empirical Study|Review / Survey
https://openalex.org/W3035786310,Rampant C→U Hypermutation in the Genomes of SARS-CoV-2 and Other Coronaviruses: Causes and Consequences for Their Short- and Long-Term Evolutionary Trajectories,2020,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper,Selection / Positive Selection Detection|Evolutionary Theory / Conceptual Analysis,,,,Whole Genome Sequence,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3006426838,Reconstructing the evolutionary history of nitrogenases: Evidence for ancestral molybdenum‐cofactor utilization,2020,tier2,,,,,,Not Specified|Single Location,Marine,Empirical Study|Method / Model Paper,Phylogeny Inference|Trait Evolution / Ancestral State Reconstruction,Bayesian Inference|Phylogenetic Comparative Methods,,,,Not Specified,Marine,Empirical Study
https://openalex.org/W3005383663,The Multispecies Coalescent Model Outperforms Concatenation Across Diverse Phylogenomic Data Sets,2020,tier1,,,Bayesian Inference|Coalescent-based Model|Simulation-based Inference,Nuclear Gene Sequences,Aves|Insects|Invertebrates|Mammalia|Reptilia|Teleost Fish,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Species Delimitation|Phylogenetic Comparative Methods|Evolutionary Theory / Conceptual Analysis,Bayesian Inference|Coalescent-based Model|Simulation-based Inference,,Aves|Mammalia|Teleost Fish|Insects|Reptilia,Nuclear Gene Sequences,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper
https://openalex.org/W3004584205,Patterns of somatic structural variation in human cancer genomes,2020,tier2,STRUCTURE,,,Nuclear Gene Sequences|Occurrence / Distribution Records|Whole Genome Sequence,,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper,Selection / Positive Selection Detection,,STRUCTURE,,Whole Genome Sequence|Nuclear Gene Sequences,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W4319068304,Human-specific genetics: new tools to explore the molecular and cellular basis of human evolution,2023,tier1,,,,,Mammalia,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper|Review / Survey,Evolutionary Theory / Conceptual Analysis,,,Mammalia,,Multiple Locations,Not Specified,Review / Survey|Empirical Study|Method / Model Paper|Resource / Dataset Paper
https://openalex.org/W3039975896,Undinarchaeota illuminate DPANN phylogeny and the impact of gene transfer on archaeal evolution,2020,tier1,,,,,,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Gene Flow / Introgression Analysis|Macroevolutionary Pattern Analysis,,,,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3147222942,Temporal dynamics of SARS-CoV-2 mutation accumulation within and across infected hosts,2021,tier1,,,Bayesian Inference,,,Multiple Locations,Not Specified,Empirical Study,Demographic History Inference|Gene Flow / Introgression Analysis|Adaptation Inference,Bayesian Inference,,,,Multiple Locations|Single Location,Not Specified,Empirical Study
https://openalex.org/W4387823059,Genomics for monitoring and understanding species responses to global climate change,2023,tier2,,,,Ecological / Environmental Variables|Occurrence / Distribution Records,,Multiple Locations,Marine,Empirical Study|Review / Survey,Adaptation Inference|Eco-evolutionary Dynamics|Evolutionary Theory / Conceptual Analysis,,,,Ecological / Environmental Variables|Occurrence / Distribution Records,Multiple Locations,Marine,Review / Survey|Empirical Study
https://openalex.org/W3035842044,Lineage dynamics of the endosymbiotic cell type in the soft coral Xenia,2020,tier2,,,,Ecological / Environmental Variables,,Not Specified|Single Location,Marine,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Adaptation Inference,,,,Ecological / Environmental Variables,Not Specified|Single Location,Marine,Resource / Dataset Paper|Empirical Study
https://openalex.org/W3087081867,A Field Guide to Eukaryotic Transposable Elements,2020,tier1,,,,Behavioral Data|Ecological / Environmental Variables,,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper|Review / Survey,Macroevolutionary Pattern Analysis|Evolutionary Theory / Conceptual Analysis,,,Plants,,Multiple Locations,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W3152442338,Extensive microbial diversity within the chicken gut microbiome revealed by metagenomics and culture,2021,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study|Resource / Dataset Paper,,,,Aves,Whole Genome Sequence,Not Specified,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W4385945347,The specious art of single-cell genomics,2023,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study|Resource / Dataset Paper,,,,,,Not Specified,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W4210886322,"Plant GATA Factors: Their Biology, Phylogeny, and Phylogenomics",2022,tier2,,,,,Angiosperms|Plants,Multiple Locations,Not Specified,Empirical Study|Review / Survey,Phylogeny Inference|Trait Evolution / Ancestral State Reconstruction,,,Plants|Angiosperms,,Multiple Locations,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W3041043209,Towards the completion of speciation: the evolution of reproductive isolation beyond the first barriers,2020,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study,Species Delimitation|Gene Flow / Introgression Analysis,,,,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3080458156,Host selection shapes crop microbiome assembly and network complexity,2020,tier2,,,,,Plants,Multiple Locations,Not Specified,Empirical Study,Eco-evolutionary Dynamics|Adaptation Inference,,,Plants,,Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W3013655101,Ghost Introgression: Spooky Gene Flow in the Distant Past,2020,tier1,,,,Fossil Record,,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Gene Flow / Introgression Analysis|Phylogeny Inference,,,,Fossil Record,,,Empirical Study
https://openalex.org/W4307336954,Polyploidy: its consequences and enabling role in plant diversification and evolution,2022,tier1,,,,Ecological / Environmental Variables|Transcriptome (RNA-seq)|Whole Genome Sequence,Angiosperms|Plants,Not Specified|Single Location,Freshwater|Marine,Empirical Study|Method / Model Paper,Speciation|Adaptation Inference|Macroevolutionary Pattern Analysis,,,Plants,Whole Genome Sequence|Transcriptome (RNA-seq)|Ecological / Environmental Variables,,,Empirical Study
https://openalex.org/W3213067154,Origins and evolution of extreme life span in Pacific Ocean rockfishes,2021,tier1,,,,,Teleost Fish,Not Specified|Single Location,Freshwater|Marine,Empirical Study,Adaptation Inference|Phylogeny Inference,,,Teleost Fish,,,,Empirical Study
https://openalex.org/W3135409471,"Genomic Characterization of a Novel SARS-CoV-2 Lineage from Rio de Janeiro, Brazil",2021,tier1,,,,,,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference,,,,,Single Location,Not Specified,Empirical Study
https://openalex.org/W3163112933,Incorporating the speciation process into species delimitation,2021,tier1,STRUCTURE,,Coalescent-based Model,,,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper,Species Delimitation|Gene Flow / Introgression Analysis|Phylogeny Inference,Coalescent-based Model,STRUCTURE,,,Multiple Locations,Not Specified,Method / Model Paper|Empirical Study
https://openalex.org/W4200602261,"Whole-Genome Resequencing of Worldwide Wild and Domestic Sheep Elucidates Genetic Diversity, Introgression, and Agronomically Important Loci",2021,tier2,,,,Whole Genome Sequence,,Global / Public Database Scale,Terrestrial,Empirical Study|Resource / Dataset Paper,Gene Flow / Introgression Analysis|Population Structure Analysis|Adaptation Inference|Selection / Positive Selection Detection,,,,Whole Genome Sequence,Global / Public Database Scale,Terrestrial,Resource / Dataset Paper|Empirical Study
https://openalex.org/W3039323082,Genomic analysis of the domestication and post-Spanish conquest evolution of the llama and alpaca,2020,tier1,,,,Transcriptome (RNA-seq)|Whole Genome Sequence,,Not Specified|Single Location,High-altitude,Empirical Study|Resource / Dataset Paper,Domestication|Phylogeny Inference|Gene Flow / Introgression Analysis|Adaptation Inference,,,,Whole Genome Sequence|Transcriptome (RNA-seq),Not Specified,High-altitude,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3157163834,Genetic impacts on DNA methylation: research findings and future perspectives,2021,tier1,,,,Whole Genome Sequence,,Not Specified|Single Location,Marine,Empirical Study|Review / Survey,Evolutionary Theory / Conceptual Analysis|Phylogenetic Comparative Methods,,,,Whole Genome Sequence,Not Specified,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W3182097799,The crucial role of genome-wide genetic variation in conservation,2021,tier2,,,Simulation-based Inference,Ecological / Environmental Variables|Whole Genome Sequence,,Not Specified|Single Location,Not Specified,Empirical Study,Evolutionary Theory / Conceptual Analysis|Adaptation Inference,Simulation-based Inference,,,Ecological / Environmental Variables|Whole Genome Sequence,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3134064557,Deleterious mutation accumulation and the long-term fate of chromosomal inversions,2021,tier2,,,Simulation-based Inference,,,Not Specified|Single Location,Not Specified,Empirical Study,Evolutionary Theory / Conceptual Analysis|Adaptation Inference,Simulation-based Inference,,,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3009980214,What is ancestry?,2020,tier1,STRUCTURE,,,,,Global / Public Database Scale,Marine,Empirical Study,Demographic History Inference,,STRUCTURE,,,Global / Public Database Scale,Marine,Empirical Study
https://openalex.org/W3033913804,Earth microbial co-occurrence network reveals interconnection pattern across microbiomes,2020,tier2,STRUCTURE,,,Ecological / Environmental Variables|Occurrence / Distribution Records,Plants,Global / Public Database Scale,Not Specified,Empirical Study|Resource / Dataset Paper,Eco-evolutionary Dynamics|Biogeography,,STRUCTURE,Plants,Ecological / Environmental Variables|Occurrence / Distribution Records,Global / Public Database Scale,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3015444032,Phylogenetic network analysis of SARS-CoV-2 genomes,2020,tier1,,,Network Phylogenetics,,,Multiple Locations,Not Specified,Empirical Study,Phylogeny Inference|Evolutionary Theory / Conceptual Analysis,Network Phylogenetics,,,,Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W4367173724,A genomic timescale for placental mammal evolution,2023,tier1,,,Bayesian Inference|Coalescent-based Model,Whole Genome Sequence,Mammalia,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper,Phylogeny Inference|Divergence Time Estimation,Coalescent-based Model|Bayesian Inference,,Mammalia,Whole Genome Sequence,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3111726075,Identification and Characterization of 33 Bacillus cereus sensu lato Isolates from Agricultural Fields from Eleven Widely Distributed Countries by Whole Genome Sequencing,2020,tier2,,,,Ecological / Environmental Variables|Whole Genome Sequence,,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Population Structure Analysis,,,,Whole Genome Sequence|Ecological / Environmental Variables,Multiple Locations|Not Specified,Not Specified,Empirical Study
https://openalex.org/W3008570337,Understanding the human antibody repertoire,2020,tier1,STRUCTURE,,,,,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper|Review / Survey,Evolutionary Theory / Conceptual Analysis,,STRUCTURE,,,Not Specified,Not Specified,Review / Survey
https://openalex.org/W3011141248,Comparing the Performance of Microsatellites and RADseq in Population Genetic Studies: Analysis of Data for Pike (Esox lucius) and a Synthesis of Previous Studies,2020,tier1,STRUCTURE,,,Ecological / Environmental Variables|SNP Genotype Data,,Not Specified|Single Location,Freshwater|Marine,Empirical Study|Resource / Dataset Paper,Population Structure Analysis|Adaptation Inference|Gene Flow / Introgression Analysis,,STRUCTURE,Teleost Fish,SNP Genotype Data|Ecological / Environmental Variables|Reduced Representation (RADseq / GBS),Not Specified,Freshwater|Marine,Empirical Study|Resource / Dataset Paper
https://openalex.org/W4297888171,EukProt: A database of genome-scale predicted proteins across the diversity of eukaryotes,2022,tier2,,,,,,Multiple Locations,Freshwater|Marine,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Macroevolutionary Pattern Analysis,,,Plants,,Multiple Locations,Marine|Freshwater,Resource / Dataset Paper
https://openalex.org/W3033825041,Analysis of 1321 Eubacterium rectale genomes from metagenomes uncovers complex phylogeographic population structure and subspecies functional adaptations,2020,tier1,STRUCTURE,,,Whole Genome Sequence,Mammalia,Not Specified|Single Location,Island,Empirical Study,Population Structure Analysis|Biogeography|Gene Flow / Introgression Analysis,,STRUCTURE,Mammalia,Whole Genome Sequence,Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W4312093588,The molecular evolution of spermatogenesis across mammals,2022,tier2,,,,Transcriptome (RNA-seq),Aves|Mammalia,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper,Selection / Positive Selection Detection|Trait Evolution / Ancestral State Reconstruction,Bayesian Inference,,Mammalia|Aves,Transcriptome (RNA-seq),Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3163053647,Phylogenomic Subsampling and the Search for Phylogenetically Reliable Loci,2021,tier2,,,,Behavioral Data|Occurrence / Distribution Records,Plants,Multiple Locations,Marine,Empirical Study|Protocol / Technical Note|Resource / Dataset Paper,Phylogeny Inference,,,Plants,Occurrence / Distribution Records,Multiple Locations,Not Specified,Method / Model Paper|Resource / Dataset Paper
https://openalex.org/W3109790889,Selection enhances protein evolvability by increasing mutational robustness and foldability,2020,tier2,,,,,,Not Specified|Single Location,Not Specified,Empirical Study,Selection / Positive Selection Detection|Adaptation Inference|Evolutionary Theory / Conceptual Analysis,,,Model Organisms,,Single Location,Not Specified,Empirical Study
https://openalex.org/W3210280275,"Microchromosomes are building blocks of bird, reptile, and mammal chromosomes",2021,tier1,,,,,Aves|Invertebrates|Mammalia|Reptilia|Vertebrates,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Macroevolutionary Pattern Analysis,,,Aves|Reptilia|Mammalia|Vertebrates|Invertebrates,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3042698870,Assembly of the threespine stickleback Y chromosome reveals convergent signatures of sex chromosome evolution,2020,tier2,,,,Transcriptome (RNA-seq),,Multiple Locations,Not Specified,Empirical Study,Evolutionary Theory / Conceptual Analysis|Phylogeny Inference,,,,Transcriptome (RNA-seq),Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W3029105628,Deep Roots and Splendid Boughs of the Global Plant Virome,2020,tier1,,,,,Invertebrates|Plants,Not Specified|Single Location,Terrestrial,Empirical Study|Method / Model Paper,Phylogeny Inference|Biogeography|Eco-evolutionary Dynamics,,,Plants|Invertebrates,,Global / Public Database Scale,Terrestrial,Empirical Study|Review / Survey
https://openalex.org/W3097658527,"Many, but not all, lineage-specific genes can be explained by homology detection failure",2020,tier1,,,,,Insects,Not Specified|Single Location,Marine,Empirical Study|Method / Model Paper,Evolutionary Theory / Conceptual Analysis|Phylogeny Inference,,,Insects,,Not Specified,Not Specified,Empirical Study|Method / Model Paper
https://openalex.org/W4220762623,Taming transposable elements in vertebrates: from epigenetic silencing to domestication,2022,tier1,,,,Transcriptome (RNA-seq),Vertebrates,Not Specified|Single Location,Marine,Empirical Study|Review / Survey,Adaptation Inference|Gene Flow / Introgression Analysis|Evolutionary Theory / Conceptual Analysis,,,Vertebrates,Transcriptome (RNA-seq),Not Specified,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W3044927940,Khoe-San Genomes Reveal Unique Variation and Confirm the Deepest Population Divergence in Homo sapiens,2020,tier1,ADMIXTURE,,,Whole Genome Sequence,,Multiple Locations,Not Specified,Empirical Study,Population Structure Analysis|Demographic History Inference|Selection / Positive Selection Detection,,ADMIXTURE,Homo sapiens,Whole Genome Sequence,Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W3086997270,Genus-Wide Characterization of Bumblebee Genomes Provides Insights into Their Evolution and Variation in Ecological and Behavioral Traits,2020,tier1,,,dN/dS Analysis,Behavioral Data|Ecological / Environmental Variables,,Multiple Locations,High-altitude,Empirical Study|Method / Model Paper,Phylogeny Inference|Selection / Positive Selection Detection|Trait Evolution / Ancestral State Reconstruction|Eco-evolutionary Dynamics,dN/dS Analysis,,Insects,Behavioral Data|Ecological / Environmental Variables,Multiple Locations,High-altitude,Empirical Study|Method / Model Paper
https://openalex.org/W3019171991,Extensive Ethnolinguistic Diversity in Vietnam Reflects Multiple Sources of Genetic Diversity,2020,tier1,,,,Whole Genome Sequence,,Not Specified|Single Location,Not Specified,Empirical Study,Population Structure Analysis|Gene Flow / Introgression Analysis|Demographic History Inference,,,,Whole Genome Sequence,Single Location|Not Specified,Not Specified,Empirical Study
https://openalex.org/W3010528608,Sources of epigenetic variation and their applications in natural populations,2020,tier2,,,,Ecological / Environmental Variables|SNP Genotype Data|Transcriptome (RNA-seq),,Not Specified|Single Location,Not Specified,Empirical Study,Eco-evolutionary Dynamics,,,,Ecological / Environmental Variables,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3125528398,Giant lungfish genome elucidates the conquest of land by vertebrates,2021,tier1,,,,Transcriptome (RNA-seq),Teleost Fish|Vertebrates,Not Specified|Single Location,Terrestrial,Empirical Study,Phylogeny Inference|Adaptation Inference,,,Vertebrates|Teleost Fish,Transcriptome (RNA-seq),Not Specified,Terrestrial,Empirical Study
https://openalex.org/W3119409956,"Morphological approaches in studying fungi: collection, examination, isolation, sporulation and preservation",2020,tier2,,,,SNP Genotype Data,,Not Specified|Single Location,Not Specified,Empirical Study,,,,,SNP Genotype Data,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3007669493,Exploration of Plastid Phylogenomic Conflict Yields New Insights into the Deep Relationships of Leguminosae,2020,tier1,,,Maximum Likelihood,,Angiosperms,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Phylogenetic Comparative Methods,Maximum Likelihood,,Angiosperms|Plants,,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3004860286,A multigene phylogeny and timeline for Trichoptera (Insecta),2020,tier2,BEAST,Bayesian Inference,Maximum Likelihood|Bayesian Inference,Fossil Record|Nuclear Gene Sequences,,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Divergence Time Estimation|Biogeography,Bayesian Inference|Maximum Likelihood|Birth–Death Model,BEAST,Insects,Nuclear Gene Sequences|Fossil Record,Not Specified,Not Specified,Empirical Study|Method / Model Paper
https://openalex.org/W4295078843,GENESPACE tracks regions of interest and gene copy number variation across multiple genomes,2022,tier2,STRUCTURE,,,Occurrence / Distribution Records,Plants|Vertebrates,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper,Phylogeny Inference|Gene Flow / Introgression Analysis|Adaptation Inference,,STRUCTURE,Plants|Vertebrates,Occurrence / Distribution Records,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W3139353203,"Glucocorticoids, the evolution of the stress-response, and the primate predicament",2021,tier1,,,,,Aves|Mammalia|Reptilia|Teleost Fish|Vertebrates,Multiple Locations,Not Specified,Empirical Study|Review / Survey,Evolutionary Theory / Conceptual Analysis|Adaptation Inference,,,Vertebrates|Aves|Mammalia|Reptilia|Teleost Fish,,Multiple Locations,Not Specified,Review / Survey|Empirical Study
https://openalex.org/W4378977815,Phylogenomic analyses provide insights into primate evolution,2023,tier1,,,dN/dS Analysis,,Mammalia,Multiple Locations,Not Specified,Empirical Study,Phylogeny Inference|Selection / Positive Selection Detection|Adaptation Inference,dN/dS Analysis,,Mammalia,Whole Genome Sequence,Multiple Locations,Not Specified,Empirical Study
https://openalex.org/W3174638824,Long Reads Are Revolutionizing 20 Years of Insect Genome Sequencing,2021,tier1,,,,Transcriptome (RNA-seq),Drosophila|Insects|Model Organisms,Not Specified|Single Location,Marine,Empirical Study|Resource / Dataset Paper,Phylogeny Inference|Macroevolutionary Pattern Analysis,,,Insects|Drosophila|Model Organisms,,Not Specified|Single Location,Marine,Resource / Dataset Paper|Empirical Study
https://openalex.org/W3047720445,The study of host–microbiome (co)evolution across levels of selection,2020,tier1,,,,SNP Genotype Data,,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper,Eco-evolutionary Dynamics|Evolutionary Theory / Conceptual Analysis,,,,SNP Genotype Data,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper
https://openalex.org/W3128734195,"Phylotranscriptomic insights into Asteraceae diversity, polyploidy, and morphological innovation",2021,tier1,,,,Ecological / Environmental Variables,Plants,Not Specified|Single Location,Not Specified,Empirical Study,Phylogeny Inference|Macroevolutionary Pattern Analysis|Divergence Time Estimation,,,Plants|Angiosperms,Transcriptome (RNA-seq)|Whole Genome Sequence|Ecological / Environmental Variables,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3021936614,New Methods to Calculate Concordance Factors for Phylogenomic Datasets,2020,tier1,IQ-TREE,Maximum Likelihood,,,,Not Specified|Single Location,Not Specified,Empirical Study|Method / Model Paper|Protocol / Technical Note|Resource / Dataset Paper,Phylogeny Inference|Phylogenetic Comparative Methods,Maximum Likelihood,IQ-TREE,,,Not Specified,Not Specified,Method / Model Paper|Resource / Dataset Paper|Protocol / Technical Note
https://openalex.org/W3015749488,The Scaly-foot Snail genome and implications for the origins of biomineralised armour,2020,tier1,,,,Fossil Record|Occurrence / Distribution Records|Transcriptome (RNA-seq)|Whole Genome Sequence,,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Resource / Dataset Paper,Phylogeny Inference|Trait Evolution / Ancestral State Reconstruction,,,,Whole Genome Sequence|Transcriptome (RNA-seq)|Fossil Record,Multiple Locations,Not Specified,Empirical Study|Resource / Dataset Paper
https://openalex.org/W4229040376,Evolution of the human pathogenic lifestyle in fungi,2022,tier2,,,,,,Not Specified|Single Location,Marine,Empirical Study,Adaptation Inference|Evolutionary Theory / Conceptual Analysis,,,,,Not Specified,Not Specified,Empirical Study
https://openalex.org/W3027489835,The ‘biomineralization toolkit’ and the origin of animal skeletons,2020,tier1,,,,Fossil Record,,Multiple Locations,Not Specified,Empirical Study|Method / Model Paper|Review / Survey,Phylogeny Inference|Trait Evolution / Ancestral State Reconstruction|Macroevolutionary Pattern Analysis,,,,Fossil Record,Multiple Locations,Not Specified,Review / Survey|Empirical Study|Method / Model Paper
https://openalex.org/W3084471312,Transposable Elements and the Evolution of Insects,2020,tier1,,,,,Insects,Multiple Locations,Terrestrial,Empirical Study,Macroevolutionary Pattern Analysis|Gene Flow / Introgression Analysis,,,Insects,,Multiple Locations,Terrestrial,Empirical Study
https://openalex.org/W4388772500,Bacterial genome size and gene functional diversity negatively correlate with taxonomic diversity along a pH gradient,2023,tier2,,,,Ecological / Environmental Variables,,Not Specified|Single Location,Temperate|Terrestrial|Tropical,Empirical Study,Adaptation Inference|Eco-evolutionary Dynamics,,,,Ecological / Environmental Variables,Single Location,Temperate|Terrestrial|Tropical,Empirical Study
