work_id,concept_id,relation
W3094526233,computational_biology,hasConcept
W3094526233,genetics,hasConcept
W3094526233,microbiology,hasConcept
W3094526233,gene,hasConcept
W3094526233,genome,hasConcept
W4281383093,genome,hasConcept
W4281383093,biology,hasConcept
W4281383093,genetics,hasConcept
W4281383093,mutation,hasConcept
W4281383093,severe_acute_respiratory_syndrome_coronavirus_2_(sars-cov-2),hasConcept
W4281383093,evolutionary_biology,hasConcept
W4281383093,coronavirus_disease_2019_(covid-19),hasConcept
W4281383093,genetic_fitness,hasConcept
W4281383093,coronavirus,hasConcept
W4281383093,gene,hasConcept
W4281383093,computational_biology,hasConcept
W4281383093,disease,hasConcept
W4281383093,medicine,hasConcept
W4281383093,pathology,hasConcept
W4281383093,infectious_disease_(medical_specialty),hasConcept
W3206764122,biology,hasConcept
W3206764122,protist,hasConcept
W3206764122,ecology,hasConcept
W3206764122,evolutionary_biology,hasConcept
W3206764122,diversity_(politics),hasConcept
W3206764122,biodiversity,hasConcept
W3206764122,molecular_ecology,hasConcept
W3206764122,evolutionary_ecology,hasConcept
W3206764122,biosphere,hasConcept
W3206764122,genetics,hasConcept
W3206764122,population,hasConcept
W3206764122,gene,hasConcept
W3206764122,host_(biology),hasConcept
W3206764122,demography,hasConcept
W3206764122,anthropology,hasConcept
W3206764122,sociology,hasConcept
W3113917743,inbreeding_depression,hasConcept
W3113917743,inbreeding,hasConcept
W3113917743,biology,hasConcept
W3113917743,small_population_size,hasConcept
W3113917743,population_fragmentation,hasConcept
W3113917743,extinction_(optical_mineralogy),hasConcept
W3113917743,population,hasConcept
W3113917743,genetic_variation,hasConcept
W3113917743,genetic_diversity,hasConcept
W3113917743,evolutionary_biology,hasConcept
W3113917743,genetics,hasConcept
W3113917743,ecology,hasConcept
W3113917743,demography,hasConcept
W3113917743,habitat,hasConcept
W3113917743,gene,hasConcept
W3113917743,paleontology,hasConcept
W3113917743,sociology,hasConcept
W3010826188,retrotransposon,hasConcept
W3010826188,transposable_element,hasConcept
W3010826188,biology,hasConcept
W3010826188,genome,hasConcept
W3010826188,evolutionary_biology,hasConcept
W3010826188,transposition_(logic),hasConcept
W3010826188,genome_evolution,hasConcept
W3010826188,horizontal_transmission,hasConcept
W3010826188,horizontal_gene_transfer,hasConcept
W3010826188,negative_selection,hasConcept
W3010826188,vertebrate,hasConcept
W3010826188,eukaryote,hasConcept
W3010826188,genetics,hasConcept
W3010826188,gene,hasConcept
W3010826188,virus,hasConcept
W3010826188,linguistics,hasConcept
W3010826188,philosophy,hasConcept
W3014405512,biology,hasConcept
W3014405512,ecotype,hasConcept
W3014405512,local_adaptation,hasConcept
W3014405512,gene_flow,hasConcept
W3014405512,evolutionary_biology,hasConcept
W3014405512,linkage_disequilibrium,hasConcept
W3014405512,population,hasConcept
W3014405512,coalescent_theory,hasConcept
W3014405512,population_genetics,hasConcept
W3014405512,genetics,hasConcept
W3014405512,genetic_variation,hasConcept
W3014405512,allele,hasConcept
W3014405512,gene,hasConcept
W3014405512,phylogenetics,hasConcept
W3014405512,haplotype,hasConcept
W3014405512,demography,hasConcept
W3014405512,sociology,hasConcept
W4306411852,biology,hasConcept
W4306411852,peromyscus,hasConcept
W4306411852,genetics,hasConcept
W4306411852,evolutionary_biology,hasConcept
W4306411852,ectopic_recombination,hasConcept
W4306411852,local_adaptation,hasConcept
W4306411852,recombination,hasConcept
W4306411852,ecotype,hasConcept
W4306411852,genetic_diversity,hasConcept
W4306411852,genetic_variation,hasConcept
W4306411852,chromosomal_inversion,hasConcept
W4306411852,structural_variation,hasConcept
W4306411852,genome,hasConcept
W4306411852,population,hasConcept
W4306411852,chromosome,hasConcept
W4306411852,gene,hasConcept
W4306411852,zoology,hasConcept
W4306411852,genetic_recombination,hasConcept
W4306411852,karyotype,hasConcept
W4306411852,demography,hasConcept
W4306411852,sociology,hasConcept
W2999294700,microbiome,hasConcept
W2999294700,biology,hasConcept
W2999294700,vertebrate,hasConcept
W2999294700,adaptation_(eye),hasConcept
W2999294700,mammal,hasConcept
W2999294700,zoology,hasConcept
W2999294700,convergent_evolution,hasConcept
W2999294700,evolutionary_biology,hasConcept
W2999294700,ecology,hasConcept
W2999294700,phylogenetics,hasConcept
W2999294700,genetics,hasConcept
W2999294700,gene,hasConcept
W2999294700,neuroscience,hasConcept
W3035786310,context_(archaeology),hasConcept
W3035786310,biology,hasConcept
W3035786310,somatic_hypermutation,hasConcept
W3035786310,apobec,hasConcept
W3035786310,coronavirus,hasConcept
W3035786310,pandemic,hasConcept
W3035786310,severe_acute_respiratory_syndrome_coronavirus_2_(sars-cov-2),hasConcept
W3035786310,genome,hasConcept
W3035786310,sequence_(biology),hasConcept
W3035786310,genetics,hasConcept
W3035786310,virology,hasConcept
W3035786310,evolutionary_biology,hasConcept
W3035786310,coronavirus_disease_2019_(covid-19),hasConcept
W3035786310,whole_genome_sequencing,hasConcept
W3035786310,mutation,hasConcept
W3035786310,computational_biology,hasConcept
W3035786310,gene,hasConcept
W3035786310,medicine,hasConcept
W3035786310,disease,hasConcept
W3035786310,paleontology,hasConcept
W3035786310,b_cell,hasConcept
W3035786310,infectious_disease_(medical_specialty),hasConcept
W3035786310,antibody,hasConcept
W3035786310,pathology,hasConcept
W3006426838,molybdenum,hasConcept
W3006426838,nitrogenase,hasConcept
W3006426838,cofactor,hasConcept
W3006426838,evolutionary_biology,hasConcept
W3006426838,archaea,hasConcept
W3006426838,biology,hasConcept
W3006426838,chemistry,hasConcept
W3006426838,bacteria,hasConcept
W3006426838,paleontology,hasConcept
W3006426838,biochemistry,hasConcept
W3006426838,enzyme,hasConcept
W3006426838,nitrogen_fixation,hasConcept
W3006426838,inorganic_chemistry,hasConcept
W3005383663,coalescent_theory,hasConcept
W3005383663,biology,hasConcept
W3005383663,concatenation_(mathematics),hasConcept
W3005383663,evolutionary_biology,hasConcept
W3005383663,phylogenomics,hasConcept
W3005383663,computational_biology,hasConcept
W3005383663,phylogenetics,hasConcept
W3005383663,genetics,hasConcept
W3005383663,mathematics,hasConcept
W3005383663,combinatorics,hasConcept
W3005383663,gene,hasConcept
W3005383663,clade,hasConcept
W3004584205,somatic_cell,hasConcept
W3004584205,variation_(astronomy),hasConcept
W3004584205,structural_variation,hasConcept
W3004584205,genome,hasConcept
W3004584205,biology,hasConcept
W3004584205,evolutionary_biology,hasConcept
W3004584205,human_genome,hasConcept
W3004584205,genetics,hasConcept
W3004584205,computational_biology,hasConcept
W3004584205,gene,hasConcept
W3004584205,physics,hasConcept
W3004584205,astronomy,hasConcept
W4319068304,biology,hasConcept
W4319068304,evolutionary_biology,hasConcept
W4319068304,human_genetics,hasConcept
W4319068304,human_evolution,hasConcept
W4319068304,human_genetic_variation,hasConcept
W4319068304,genome,hasConcept
W4319068304,model_organism,hasConcept
W4319068304,computational_biology,hasConcept
W4319068304,human_genome,hasConcept
W4319068304,genetics,hasConcept
W4319068304,gene,hasConcept
W3039975896,biology,hasConcept
W3039975896,monophyly,hasConcept
W3039975896,clade,hasConcept
W3039975896,tree_of_life_(biology),hasConcept
W3039975896,phylum,hasConcept
W3039975896,phylogenetics,hasConcept
W3039975896,evolutionary_biology,hasConcept
W3039975896,lineage_(genetic),hasConcept
W3039975896,genome,hasConcept
W3039975896,horizontal_gene_transfer,hasConcept
W3039975896,candidatus,hasConcept
W3039975896,archaea,hasConcept
W3039975896,phylogenetic_tree,hasConcept
W3039975896,phylogenomics,hasConcept
W3039975896,gene,hasConcept
W3039975896,genetics,hasConcept
W3147222942,biology,hasConcept
W3147222942,context_(archaeology),hasConcept
W3147222942,evolutionary_biology,hasConcept
W3147222942,transmission_(telecommunications),hasConcept
W3147222942,genetics,hasConcept
W3147222942,dna_sequencing,hasConcept
W3147222942,genome,hasConcept
W3147222942,genetic_diversity,hasConcept
W3147222942,computational_biology,hasConcept
W3147222942,population,hasConcept
W3147222942,gene,hasConcept
W3147222942,demography,hasConcept
W3147222942,computer_science,hasConcept
W3147222942,telecommunications,hasConcept
W3147222942,paleontology,hasConcept
W3147222942,sociology,hasConcept
W4387823059,biology,hasConcept
W4387823059,genomics,hasConcept
W4387823059,climate_change,hasConcept
W4387823059,computational_biology,hasConcept
W4387823059,evolutionary_biology,hasConcept
W4387823059,ecology,hasConcept
W4387823059,genetics,hasConcept
W4387823059,genome,hasConcept
W4387823059,gene,hasConcept
W3035842044,lineage_(genetic),hasConcept
W3035842044,coral,hasConcept
W3035842044,biology,hasConcept
W3035842044,evolutionary_biology,hasConcept
W3035842044,symbiosis,hasConcept
W3035842044,genetics,hasConcept
W3035842044,ecology,hasConcept
W3035842044,bacteria,hasConcept
W3035842044,gene,hasConcept
W3087081867,biology,hasConcept
W3087081867,transposable_element,hasConcept
W3087081867,genome,hasConcept
W3087081867,evolutionary_biology,hasConcept
W3087081867,mobile_genetic_elements,hasConcept
W3087081867,retrotransposon,hasConcept
W3087081867,novelty,hasConcept
W3087081867,genome_evolution,hasConcept
W3087081867,diversification_(marketing_strategy),hasConcept
W3087081867,genetics,hasConcept
W3087081867,gene,hasConcept
W3087081867,philosophy,hasConcept
W3087081867,theology,hasConcept
W3087081867,marketing,hasConcept
W3087081867,business,hasConcept
W3152442338,metagenomics,hasConcept
W3152442338,biology,hasConcept
W3152442338,microbiome,hasConcept
W3152442338,genome,hasConcept
W3152442338,evolutionary_biology,hasConcept
W3152442338,gut_microbiome,hasConcept
W3152442338,computational_biology,hasConcept
W3152442338,genetics,hasConcept
W3152442338,gene,hasConcept
W4385945347,genomics,hasConcept
W4385945347,computational_biology,hasConcept
W4385945347,evolutionary_biology,hasConcept
W4385945347,biology,hasConcept
W4385945347,functional_genomics,hasConcept
W4385945347,computer_science,hasConcept
W4385945347,genetics,hasConcept
W4385945347,genome,hasConcept
W4385945347,gene,hasConcept
W4210886322,biology,hasConcept
W4210886322,phylogenetics,hasConcept
W4210886322,lineage_(genetic),hasConcept
W4210886322,gata_transcription_factor,hasConcept
W4210886322,phylogenomics,hasConcept
W4210886322,evolutionary_biology,hasConcept
W4210886322,plant_evolution,hasConcept
W4210886322,chloroplast,hasConcept
W4210886322,phylogenetic_tree,hasConcept
W4210886322,botany,hasConcept
W4210886322,flowering_plant,hasConcept
W4210886322,genome,hasConcept
W4210886322,genetics,hasConcept
W4210886322,gene,hasConcept
W4210886322,clade,hasConcept
W4210886322,gene_expression,hasConcept
W4210886322,promoter,hasConcept
W3041043209,reproductive_isolation,hasConcept
W3041043209,genetic_algorithm,hasConcept
W3041043209,isolation_(microbiology),hasConcept
W3041043209,incipient_speciation,hasConcept
W3041043209,evolutionary_biology,hasConcept
W3041043209,biology,hasConcept
W3041043209,face_(sociological_concept),hasConcept
W3041043209,gene_flow,hasConcept
W3041043209,sociology,hasConcept
W3041043209,bioinformatics,hasConcept
W3041043209,genetics,hasConcept
W3041043209,gene,hasConcept
W3041043209,population,hasConcept
W3041043209,social_science,hasConcept
W3041043209,demography,hasConcept
W3041043209,genetic_variation,hasConcept
W3080458156,host_(biology),hasConcept
W3080458156,microbiome,hasConcept
W3080458156,biology,hasConcept
W3080458156,selection_(genetic_algorithm),hasConcept
W3080458156,computational_biology,hasConcept
W3080458156,evolutionary_biology,hasConcept
W3080458156,crop,hasConcept
W3080458156,genetics,hasConcept
W3080458156,ecology,hasConcept
W3080458156,computer_science,hasConcept
W3080458156,artificial_intelligence,hasConcept
W3013655101,introgression,hasConcept
W3013655101,lineage_(genetic),hasConcept
W3013655101,biology,hasConcept
W3013655101,evolutionary_biology,hasConcept
W3013655101,gene_flow,hasConcept
W3013655101,extant_taxon,hasConcept
W3013655101,genome,hasConcept
W3013655101,genetic_algorithm,hasConcept
W3013655101,adaptation_(eye),hasConcept
W3013655101,gene,hasConcept
W3013655101,genetics,hasConcept
W3013655101,genetic_variation,hasConcept
W3013655101,neuroscience,hasConcept
W4307336954,biology,hasConcept
W4307336954,polyploid,hasConcept
W4307336954,genome,hasConcept
W4307336954,plant_evolution,hasConcept
W4307336954,introgression,hasConcept
W4307336954,genome_evolution,hasConcept
W4307336954,evolutionary_biology,hasConcept
W4307336954,genetic_algorithm,hasConcept
W4307336954,genomics,hasConcept
W4307336954,genetics,hasConcept
W4307336954,gene_duplication,hasConcept
W4307336954,adaptation_(eye),hasConcept
W4307336954,gene,hasConcept
W4307336954,neuroscience,hasConcept
W3213067154,longevity,hasConcept
W3213067154,biology,hasConcept
W3213067154,life_span,hasConcept
W3213067154,rockfish,hasConcept
W3213067154,evolutionary_biology,hasConcept
W3213067154,sebastes,hasConcept
W3213067154,population,hasConcept
W3213067154,ecology,hasConcept
W3213067154,fish_<actinopterygii>,hasConcept
W3213067154,genetics,hasConcept
W3213067154,fishery,hasConcept
W3213067154,demography,hasConcept
W3213067154,sociology,hasConcept
W3135409471,biology,hasConcept
W3135409471,phylogenetic_tree,hasConcept
W3135409471,lineage_(genetic),hasConcept
W3135409471,evolutionary_biology,hasConcept
W3135409471,phylogenetics,hasConcept
W3135409471,severe_acute_respiratory_syndrome_coronavirus_2_(sars-cov-2),hasConcept
W3135409471,genetics,hasConcept
W3135409471,2019-20_coronavirus_outbreak,hasConcept
W3135409471,coronavirus_disease_2019_(covid-19),hasConcept
W3135409471,virology,hasConcept
W3135409471,gene,hasConcept
W3135409471,infectious_disease_(medical_specialty),hasConcept
W3135409471,outbreak,hasConcept
W3135409471,medicine,hasConcept
W3135409471,pathology,hasConcept
W3135409471,disease,hasConcept
W3163112933,coalescent_theory,hasConcept
W3163112933,biology,hasConcept
W3163112933,genetic_algorithm,hasConcept
W3163112933,gene_flow,hasConcept
W3163112933,species_complex,hasConcept
W3163112933,population,hasConcept
W3163112933,evolutionary_biology,hasConcept
W3163112933,ecology,hasConcept
W3163112933,phylogenetics,hasConcept
W3163112933,phylogenetic_tree,hasConcept
W3163112933,gene,hasConcept
W3163112933,genetic_variation,hasConcept
W3163112933,genetics,hasConcept
W3163112933,demography,hasConcept
W3163112933,sociology,hasConcept
W4200602261,biology,hasConcept
W4200602261,introgression,hasConcept
W4200602261,domestication,hasConcept
W4200602261,genetic_diversity,hasConcept
W4200602261,evolutionary_biology,hasConcept
W4200602261,genetic_variation,hasConcept
W4200602261,adaptation_(eye),hasConcept
W4200602261,genome,hasConcept
W4200602261,local_adaptation,hasConcept
W4200602261,foxtail,hasConcept
W4200602261,gene_flow,hasConcept
W4200602261,genetics,hasConcept
W4200602261,gene,hasConcept
W4200602261,ecology,hasConcept
W4200602261,population,hasConcept
W4200602261,neuroscience,hasConcept
W4200602261,sociology,hasConcept
W4200602261,demography,hasConcept
W3039323082,domestication,hasConcept
W3039323082,biology,hasConcept
W3039323082,conquest,hasConcept
W3039323082,evolutionary_biology,hasConcept
W3039323082,human_genetics,hasConcept
W3039323082,genome_biology,hasConcept
W3039323082,genetics,hasConcept
W3039323082,genome,hasConcept
W3039323082,genomics,hasConcept
W3039323082,genealogy,hasConcept
W3039323082,gene,hasConcept
W3039323082,history,hasConcept
W3039323082,ancient_history,hasConcept
W3157163834,biology,hasConcept
W3157163834,human_genetics,hasConcept
W3157163834,dna_methylation,hasConcept
W3157163834,genome_biology,hasConcept
W3157163834,evolutionary_biology,hasConcept
W3157163834,computational_biology,hasConcept
W3157163834,genetics,hasConcept
W3157163834,genomics,hasConcept
W3157163834,dna,hasConcept
W3157163834,genome,hasConcept
W3157163834,gene,hasConcept
W3157163834,gene_expression,hasConcept
W3182097799,biology,hasConcept
W3182097799,extinction_(optical_mineralogy),hasConcept
W3182097799,biodiversity,hasConcept
W3182097799,genetic_variation,hasConcept
W3182097799,inbreeding_depression,hasConcept
W3182097799,conservation_genetics,hasConcept
W3182097799,evolutionary_biology,hasConcept
W3182097799,population,hasConcept
W3182097799,genome,hasConcept
W3182097799,variation_(astronomy),hasConcept
W3182097799,inbreeding,hasConcept
W3182097799,ecology,hasConcept
W3182097799,genetics,hasConcept
W3182097799,gene,hasConcept
W3182097799,demography,hasConcept
W3182097799,sociology,hasConcept
W3182097799,astrophysics,hasConcept
W3182097799,microsatellite,hasConcept
W3182097799,paleontology,hasConcept
W3182097799,allele,hasConcept
W3182097799,physics,hasConcept
W3134064557,biology,hasConcept
W3134064557,overdominance,hasConcept
W3134064557,genetics,hasConcept
W3134064557,allele,hasConcept
W3134064557,chromosomal_inversion,hasConcept
W3134064557,mutation_accumulation,hasConcept
W3134064557,evolutionary_biology,hasConcept
W3134064557,haplotype,hasConcept
W3134064557,gene,hasConcept
W3134064557,mutation_rate,hasConcept
W3134064557,chromosome,hasConcept
W3134064557,karyotype,hasConcept
W3009980214,biology,hasConcept
W3009980214,evolutionary_biology,hasConcept
W3009980214,genetic_genealogy,hasConcept
W3009980214,computational_biology,hasConcept
W3009980214,genetics,hasConcept
W3009980214,demography,hasConcept
W3009980214,population,hasConcept
W3009980214,sociology,hasConcept
W3033913804,biology,hasConcept
W3033913804,microbiome,hasConcept
W3033913804,microbial_ecology,hasConcept
W3033913804,medical_microbiology,hasConcept
W3033913804,interconnection,hasConcept
W3033913804,ecology,hasConcept
W3033913804,evolutionary_biology,hasConcept
W3033913804,computational_biology,hasConcept
W3033913804,metagenomics,hasConcept
W3033913804,astrobiology,hasConcept
W3033913804,bacteria,hasConcept
W3033913804,microbiology,hasConcept
W3033913804,genetics,hasConcept
W3033913804,computer_science,hasConcept
W3033913804,gene,hasConcept
W3033913804,computer_network,hasConcept
W3015444032,phylogenetic_tree,hasConcept
W3015444032,genome,hasConcept
W3015444032,biology,hasConcept
W3015444032,evolutionary_biology,hasConcept
W3015444032,phylogenetics,hasConcept
W3015444032,population,hasConcept
W3015444032,clade,hasConcept
W3015444032,phylogenetic_network,hasConcept
W3015444032,selection_(genetic_algorithm),hasConcept
W3015444032,genetics,hasConcept
W3015444032,gene,hasConcept
W3015444032,computer_science,hasConcept
W3015444032,sociology,hasConcept
W3015444032,artificial_intelligence,hasConcept
W3015444032,demography,hasConcept
W4367173724,biology,hasConcept
W4367173724,coalescent_theory,hasConcept
W4367173724,evolutionary_biology,hasConcept
W4367173724,phylogenetic_tree,hasConcept
W4367173724,evolution_of_mammals,hasConcept
W4367173724,genome,hasConcept
W4367173724,clade,hasConcept
W4367173724,vicariance,hasConcept
W4367173724,genetics,hasConcept
W4367173724,gene,hasConcept
W3111726075,sensu,hasConcept
W3111726075,biology,hasConcept
W3111726075,phylogenetic_tree,hasConcept
W3111726075,context_(archaeology),hasConcept
W3111726075,phylogenetics,hasConcept
W3111726075,cereus,hasConcept
W3111726075,genome,hasConcept
W3111726075,bacillus_cereus,hasConcept
W3111726075,evolutionary_biology,hasConcept
W3111726075,genetics,hasConcept
W3111726075,zoology,hasConcept
W3111726075,genus,hasConcept
W3111726075,gene,hasConcept
W3111726075,bacteria,hasConcept
W3111726075,paleontology,hasConcept
W3008570337,repertoire,hasConcept
W3008570337,antibody_repertoire,hasConcept
W3008570337,evolutionary_biology,hasConcept
W3008570337,function_(biology),hasConcept
W3008570337,biology,hasConcept
W3008570337,antibody,hasConcept
W3008570337,subject_(documents),hasConcept
W3008570337,computational_biology,hasConcept
W3008570337,computer_science,hasConcept
W3008570337,genetics,hasConcept
W3008570337,physics,hasConcept
W3008570337,acoustics,hasConcept
W3008570337,library_science,hasConcept
W3011141248,microsatellite,hasConcept
W3011141248,biology,hasConcept
W3011141248,population,hasConcept
W3011141248,evolutionary_biology,hasConcept
W3011141248,selection_(genetic_algorithm),hasConcept
W3011141248,genetic_diversity,hasConcept
W3011141248,genetic_monitoring,hasConcept
W3011141248,genetics,hasConcept
W3011141248,computer_science,hasConcept
W3011141248,allele,hasConcept
W3011141248,gene,hasConcept
W3011141248,machine_learning,hasConcept
W3011141248,demography,hasConcept
W3011141248,sociology,hasConcept
W4297888171,diversity_(politics),hasConcept
W4297888171,genome,hasConcept
W4297888171,biology,hasConcept
W4297888171,scale_(ratio),hasConcept
W4297888171,evolutionary_biology,hasConcept
W4297888171,computational_biology,hasConcept
W4297888171,geography,hasConcept
W4297888171,genetics,hasConcept
W4297888171,gene,hasConcept
W4297888171,sociology,hasConcept
W4297888171,cartography,hasConcept
W4297888171,anthropology,hasConcept
W3033825041,biology,hasConcept
W3033825041,phylogeography,hasConcept
W3033825041,eubacterium,hasConcept
W3033825041,subspecies,hasConcept
W3033825041,evolutionary_biology,hasConcept
W3033825041,genome,hasConcept
W3033825041,human_genetics,hasConcept
W3033825041,genetics,hasConcept
W3033825041,genome_biology,hasConcept
W3033825041,population,hasConcept
W3033825041,population_genetics,hasConcept
W3033825041,phylogenetics,hasConcept
W3033825041,computational_biology,hasConcept
W3033825041,genomics,hasConcept
W3033825041,gene,hasConcept
W3033825041,zoology,hasConcept
W3033825041,bacteria,hasConcept
W3033825041,sociology,hasConcept
W3033825041,demography,hasConcept
W4312093588,spermatogenesis,hasConcept
W4312093588,biology,hasConcept
W4312093588,evolutionary_biology,hasConcept
W4312093588,computational_biology,hasConcept
W4312093588,endocrinology,hasConcept
W3163053647,biology,hasConcept
W3163053647,phylogenetic_tree,hasConcept
W3163053647,inference,hasConcept
W3163053647,clade,hasConcept
W3163053647,robustness_(evolution),hasConcept
W3163053647,covariance,hasConcept
W3163053647,rate_of_evolution,hasConcept
W3163053647,evolutionary_biology,hasConcept
W3163053647,phylogenetic_comparative_methods,hasConcept
W3163053647,predictability,hasConcept
W3163053647,phylogenetics,hasConcept
W3163053647,range_(aeronautics),hasConcept
W3163053647,computational_biology,hasConcept
W3163053647,genetics,hasConcept
W3163053647,statistics,hasConcept
W3163053647,artificial_intelligence,hasConcept
W3163053647,gene,hasConcept
W3163053647,computer_science,hasConcept
W3163053647,mathematics,hasConcept
W3163053647,materials_science,hasConcept
W3163053647,composite_material,hasConcept
W3109790889,evolvability,hasConcept
W3109790889,robustness_(evolution),hasConcept
W3109790889,selection_(genetic_algorithm),hasConcept
W3109790889,evolutionary_biology,hasConcept
W3109790889,biology,hasConcept
W3109790889,genetics,hasConcept
W3109790889,computational_biology,hasConcept
W3109790889,computer_science,hasConcept
W3109790889,artificial_intelligence,hasConcept
W3109790889,gene,hasConcept
W3210280275,biology,hasConcept
W3210280275,mammal,hasConcept
W3210280275,vertebrate,hasConcept
W3210280275,platypus,hasConcept
W3210280275,microchromosome,hasConcept
W3210280275,evolutionary_biology,hasConcept
W3210280275,zoology,hasConcept
W3210280275,lineage_(genetic),hasConcept
W3210280275,genome,hasConcept
W3210280275,chromosome,hasConcept
W3210280275,gene,hasConcept
W3210280275,genetics,hasConcept
W3210280275,karyotype,hasConcept
W3042698870,biology,hasConcept
W3042698870,genetics,hasConcept
W3042698870,chromosome,hasConcept
W3042698870,y_chromosome,hasConcept
W3042698870,x_chromosome,hasConcept
W3042698870,sanger_sequencing,hasConcept
W3042698870,pseudoautosomal_region,hasConcept
W3042698870,stickleback,hasConcept
W3042698870,evolutionary_biology,hasConcept
W3042698870,karyotype,hasConcept
W3042698870,x-inactivation,hasConcept
W3042698870,gene,hasConcept
W3042698870,dna_sequencing,hasConcept
W3042698870,fish_<actinopterygii>,hasConcept
W3042698870,fishery,hasConcept
W3029105628,human_virome,hasConcept
W3029105628,biology,hasConcept
W3029105628,plant_virus,hasConcept
W3029105628,evolutionary_biology,hasConcept
W3029105628,coevolution,hasConcept
W3029105628,horizontal_gene_transfer,hasConcept
W3029105628,viral_evolution,hasConcept
W3029105628,giant_virus,hasConcept
W3029105628,genome,hasConcept
W3029105628,ecology,hasConcept
W3029105628,genetics,hasConcept
W3029105628,virus,hasConcept
W3029105628,gene,hasConcept
W3097658527,biology,hasConcept
W3097658527,lineage_(genetic),hasConcept
W3097658527,gene,hasConcept
W3097658527,novelty,hasConcept
W3097658527,homology_(biology),hasConcept
W3097658527,genetics,hasConcept
W3097658527,evolutionary_biology,hasConcept
W3097658527,clade,hasConcept
W3097658527,phylogenetics,hasConcept
W3097658527,philosophy,hasConcept
W3097658527,theology,hasConcept
W4220762623,biology,hasConcept
W4220762623,domestication,hasConcept
W4220762623,transposable_element,hasConcept
W4220762623,epigenetics,hasConcept
W4220762623,piwi-interacting_rna,hasConcept
W4220762623,evolutionary_biology,hasConcept
W4220762623,adaptation_(eye),hasConcept
W4220762623,gene_silencing,hasConcept
W4220762623,genome,hasConcept
W4220762623,genetics,hasConcept
W4220762623,genomics,hasConcept
W4220762623,genome_evolution,hasConcept
W4220762623,computational_biology,hasConcept
W4220762623,gene,hasConcept
W4220762623,neuroscience,hasConcept
W3044927940,homo_sapiens,hasConcept
W3044927940,biology,hasConcept
W3044927940,evolutionary_biology,hasConcept
W3044927940,genome,hasConcept
W3044927940,lineage_(genetic),hasConcept
W3044927940,population,hasConcept
W3044927940,genetic_diversity,hasConcept
W3044927940,effective_population_size,hasConcept
W3044927940,genetic_variation,hasConcept
W3044927940,human_evolution,hasConcept
W3044927940,natural_selection,hasConcept
W3044927940,gene,hasConcept
W3044927940,genetics,hasConcept
W3044927940,demography,hasConcept
W3044927940,anthropology,hasConcept
W3044927940,sociology,hasConcept
W3086997270,biology,hasConcept
W3086997270,eusociality,hasConcept
W3086997270,evolutionary_biology,hasConcept
W3086997270,ecology,hasConcept
W3086997270,bumblebee,hasConcept
W3086997270,phylogenetics,hasConcept
W3086997270,evolutionary_ecology,hasConcept
W3086997270,pollinator,hasConcept
W3086997270,genome,hasConcept
W3086997270,lineage_(genetic),hasConcept
W3086997270,pollination,hasConcept
W3086997270,gene,hasConcept
W3086997270,genetics,hasConcept
W3086997270,pollen,hasConcept
W3086997270,hymenoptera,hasConcept
